date,position,songname,artist,last week,peak position,weeks on chart
2005-05-28,69,When You Tell Me That You Love Me,American Idol Finalists Season 4,50,39,4
2005-05-14,86,Under Pressure,The Used And My Chemical Romance,41,41,3
2005-04-30,85,Hello Tomorrow,Squeak E. Clean Featuring Karen O.,--,85,1
2005-04-23,72,Grind With Me,Pretty Rickie,92,72,2
2005-04-09,46,Cry Baby/Piece Of My Heart,Melissa Etheridge &amp; Joss Stone,32,32,2
2005-03-05,41,My Boo,Usher And Alicia Keys,34,1,26
2005-02-05,87,Party For Two,Shania Twain With Billy Currington Or Mark McGrath,81,58,14
2005-01-08,87,Nolia Clap,"Juvenile, Wacko &amp; Skip",89,31,20
2004-12-18,97,Big Chips,R. Kelly &amp; Jay-Z,90,39,9
2004-10-30,89,Shake That Sh**,Shawnna Featuring Ludacris,84,63,14
2004-10-30,98,Tilt Ya Head Back,Nelly &amp; Christina Aguilera,87,58,6
2004-10-02,5,My Boo,Usher &amp; Alicia Keys,7,5,4
2004-09-18,67,Oye Mi Canto,"N.O.R.E., GemStar, Big Mato, Nina Sky &amp; Daddy Yankee",84,67,4
2004-09-04,84,Oye Mi Canto,"N.O.R.E., GemStar, Big Mato, Nina Sky &amp; Tego Calderon",91,84,2
2004-08-28,99,Hey Good Lookin',"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith &amp; George Strait",87,63,11
2004-07-03,58,When The Sun Goes Down,Kenny Chesney &amp; Uncle Kracker,59,26,20
2004-06-26,35,Welcome Back,Mason Betha,32,35,4
2004-06-19,45,The Way You Move,OutKast Featuring Sleepy Brown,41,1,39
2004-03-06,87,One Day At A Time,Tupac With Eminem Featuring The Outlawz,80,80,5
2004-02-28,82,Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,78,19,20
2004-01-31,96,The Set Up,Obie Trice Featuring Nate Dogg,91,73,4
2003-12-27,98,I Can't Take You Anywhere,Scotty Emerick With Toby Keith,93,91,6
2003-12-20,97,Bad Boy This Bad Boy That,Bad Boy's Da Band,84,50,9
2003-11-15,46,Frontin',Pharrell Featuring Jay-Z,30,5,23
2003-11-08,56,It's Five O'Clock Somewhere,Alan Jackson &amp; Jimmy Buffett,48,17,20
2003-09-27,100,Love At 1st Sight,Mary J. Blige Featuring Method Man,90,22,13
2003-09-13,52,Beer For My Horses,Toby Keith Duet With Willie Nelson,47,22,20
2003-08-16,48,I Know What You Want,Busta Rhymes &amp; Mariah Carey Featuring The Flipmode Squad,39,3,24
2003-07-26,87,Feel Good Time,Pink Featuring William Orbit,62,60,5
2003-06-28,94,God Bless The U.S.A.,American Idol Finalists,--,4,8
2003-06-21,82,The Jump Off,Lil' Kim Featuring Mr. Cheeks,70,17,20
2003-04-26,49,"Bump, Bump, Bump",B2K &amp; P. Diddy,38,1,22
2003-04-12,76,Don't Wanna Try,Frankie J.,--,76,1
2003-03-29,95,Do That...,Baby Featuring P. Diddy,90,33,20
2003-03-29,96,Come Close To Me,Common Featuring Mary J. Blige,83,65,15
2003-03-22,83,Come Close To Me,"Common Featuring Mary J. Blige Or Erykah Badu, Pharrell &amp; Q-Tip",74,74,14
2002-12-21,91,The Streets,WC Featuring Nate Dogg,89,81,13
2002-12-07,97,Starry Eyed Surprise,Oakenfold Featuring Shifty Shellshock,83,41,8
2002-11-30,43,Heaven,DJ Sammy &amp; Yanou Featuring Do,42,8,27
2002-11-30,50,I Need A Girl (Part Two),"P. Diddy &amp; Ginuwine Featuring Loon, Mario Winans &amp; Tammy Ruggeri",48,4,26
2002-11-02,78,Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore &amp; Vita",77,6,20
2002-09-07,86,A Little Less Conversation,Elvis Presley vs JXL,61,50,9
2002-08-17,47,I Need A Girl (Part One),P. Diddy Featuring Usher &amp; Loon,33,2,23
2002-08-17,99,Blue Jeans,Yasmeen Featuing Ghostface Killah,--,99,1
2002-07-13,19,Down 4 U,"Irv Gotti Presents The INC. Featuring Ja Rule, Ashanti, Charli Baltimore &amp; Vita",26,6,4
2002-07-13,50,A Little Less Conversation,Elvis Presley Vs JXL,--,50,1
